Customer_ID,Campaign_ID,Exposure_Date
C0151,M055,2025-07-19 0:00:00
C0354,M056,2023-11-08 0:00:00
C0389,M003,2025-09-19 0:00:00
C0384,M010,2023-02-05 0:00:00
C0079,M048,2025-08-27 0:00:00
C0214,M097,2025-10-17 0:00:00
C0402,M054,2024-02-19 0:00:00
C0426,M075,2024-11-27 0:00:00
C0152,M068,2024-07-21 0:00:00
C0416,M084,2025-05-21 0:00:00
C0153,M032,2023-08-17 0:00:00
C0499,M050,2023-09-30 0:00:00
C0436,M087,2024-08-25 0:00:00
C0432,M035,2025-09-02 0:00:00
C0465,M068,2023-10-17 0:00:00
C0213,M021,2024-10-18 0:00:00
C0038,M059,2025-08-18 0:00:00
C0196,M066,2025-03-07 0:00:00
C0237,M043,2023-08-24 0:00:00
C0464,M067,2023-09-30 0:00:00
C0114,M049,2024-01-08 0:00:00
C0414,M075,2026-04-13 0:00:00
C0079,M017,2023-03-30 0:00:00
C0016,M064,2024-04-22 0:00:00
C0017,M089,2024-02-20 0:00:00
C0442,M025,2025-10-02 0:00:00
C0376,M062,2026-03-08 0:00:00
C0173,M033,2023-06-04 0:00:00
C0495,M078,2023-12-13 0:00:00
C0323,M047,2025-04-25 0:00:00
C0149,M043,2025-01-14 0:00:00
C0062,M033,2025-05-31 0:00:00
C0225,M081,2025-10-25 0:00:00
C0171,M063,2025-02-03 0:00:00
C0324,M006,2024-09-29 0:00:00
C0283,M052,2023-01-13 0:00:00
C0376,M074,2023-08-11 0:00:00
C0377,M098,2025-06-21 0:00:00
C0155,M002,2023-03-30 0:00:00
C0309,M028,2023-04-04 0:00:00
C0089,M015,2024-12-07 0:00:00
C0056,M046,2025-06-07 0:00:00
C0174,M071,2024-01-26 0:00:00
C0187,M030,2023-03-05 0:00:00
C0043,M004,2026-03-01 0:00:00
C0322,M002,2025-05-31 0:00:00
C0484,M047,2024-10-16 0:00:00
C0111,M026,2023-04-28 0:00:00
C0041,M016,2024-05-30 0:00:00
C0209,M017,2024-12-19 0:00:00
C0015,M066,2024-09-19 0:00:00
C0086,M100,2024-02-08 0:00:00
C0141,M064,2023-06-28 0:00:00
C0328,M096,2025-11-07 0:00:00
C0370,M048,2025-08-12 0:00:00
C0154,M005,2025-09-29 0:00:00
C0385,M048,2024-01-24 0:00:00
C0105,M092,2023-10-28 0:00:00
C0336,M095,2024-08-13 0:00:00
C0050,M004,2025-01-04 0:00:00
C0001,M049,2023-04-06 0:00:00
C0402,M002,2026-03-02 0:00:00
C0096,M060,2024-05-06 0:00:00
C0297,M022,2023-01-10 0:00:00
C0353,M054,2023-02-07 0:00:00
C0340,M074,2025-08-19 0:00:00
C0192,M084,2025-06-29 0:00:00
C0270,M087,2025-07-10 0:00:00
C0242,M036,2025-05-02 0:00:00
C0096,M013,2024-12-24 0:00:00
C0399,M040,2023-11-22 0:00:00
C0150,M022,2025-04-08 0:00:00
C0160,M084,2024-09-15 0:00:00
C0154,M085,2025-01-17 0:00:00
C0333,M089,2023-06-19 0:00:00
C0488,M076,2024-02-24 0:00:00
C0351,M073,2026-04-13 0:00:00
C0176,M088,2024-09-06 0:00:00
C0374,M011,2024-12-16 0:00:00
C0323,M062,2025-06-30 0:00:00
C0395,M067,2024-04-08 0:00:00
C0046,M037,2023-11-14 0:00:00
C0287,M081,2025-05-23 0:00:00
C0003,M045,2024-09-22 0:00:00
C0166,M082,2024-06-02 0:00:00
C0036,M063,2023-03-09 0:00:00
C0102,M015,2023-04-04 0:00:00
C0235,M024,2025-12-09 0:00:00
C0056,M008,2026-02-04 0:00:00
C0491,M070,2024-08-27 0:00:00
C0169,M028,2026-04-12 0:00:00
C0421,M099,2023-10-03 0:00:00
C0075,M075,2025-12-26 0:00:00
C0304,M073,2024-01-29 0:00:00
C0186,M096,2023-11-20 0:00:00
C0345,M015,2024-08-10 0:00:00
C0140,M091,2023-12-28 0:00:00
C0324,M034,2023-12-24 0:00:00
C0290,M009,2023-02-24 0:00:00
C0025,M019,2024-08-18 0:00:00
C0199,M009,2026-01-11 0:00:00
C0404,M079,2024-10-13 0:00:00
C0205,M099,2025-12-07 0:00:00
C0367,M097,2025-12-29 0:00:00
C0381,M007,2024-07-09 0:00:00
C0138,M023,2024-03-22 0:00:00
C0175,M006,2024-08-05 0:00:00
C0081,M068,2026-01-30 0:00:00
C0243,M003,2025-01-20 0:00:00
C0230,M032,2024-05-28 0:00:00
C0196,M047,2024-08-01 0:00:00
C0229,M042,2026-03-01 0:00:00
C0069,M018,2023-06-27 0:00:00
C0472,M028,2024-09-29 0:00:00
C0054,M018,2023-09-22 0:00:00
C0126,M007,2023-07-14 0:00:00
C0074,M014,2023-10-03 0:00:00
C0382,M058,2023-01-28 0:00:00
C0200,M084,2025-03-17 0:00:00
C0456,M045,2024-05-13 0:00:00
C0080,M076,2023-07-04 0:00:00
C0110,M020,2023-10-06 0:00:00
C0155,M082,2023-05-12 0:00:00
C0104,M083,2025-06-12 0:00:00
C0482,M009,2023-04-07 0:00:00
C0456,M100,2023-11-05 0:00:00
C0450,M013,2024-09-30 0:00:00
C0204,M099,2023-08-02 0:00:00
C0113,M022,2026-02-17 0:00:00
C0266,M001,2024-12-04 0:00:00
C0086,M081,2023-06-10 0:00:00
C0495,M089,2023-08-08 0:00:00
C0210,M027,2026-01-04 0:00:00
C0283,M087,2025-08-13 0:00:00
C0080,M081,2023-12-28 0:00:00
C0057,M060,2024-07-22 0:00:00
C0259,M058,2023-05-11 0:00:00
C0098,M100,2023-08-17 0:00:00
C0192,M089,2023-08-30 0:00:00
C0198,M093,2023-05-27 0:00:00
C0151,M020,2023-02-27 0:00:00
C0473,M006,2024-10-17 0:00:00
C0090,M003,2023-06-29 0:00:00
C0303,M029,2023-07-26 0:00:00
C0404,M098,2023-05-08 0:00:00
C0256,M099,2024-11-02 0:00:00
C0364,M089,2025-12-07 0:00:00
C0305,M098,2025-09-12 0:00:00
C0001,M086,2024-06-17 0:00:00
C0254,M098,2025-09-01 0:00:00
C0460,M068,2024-10-10 0:00:00
C0424,M100,2025-05-05 0:00:00
C0002,M001,2024-08-03 0:00:00
C0357,M025,2023-02-25 0:00:00
C0261,M057,2026-01-29 0:00:00
C0201,M013,2023-03-18 0:00:00
C0120,M006,2025-04-02 0:00:00
C0011,M089,2025-01-28 0:00:00
C0161,M096,2025-11-19 0:00:00
C0229,M099,2024-09-09 0:00:00
C0303,M076,2023-07-28 0:00:00
C0260,M075,2024-05-09 0:00:00
C0032,M057,2023-08-27 0:00:00
C0134,M099,2023-07-04 0:00:00
C0034,M069,2024-12-12 0:00:00
C0082,M005,2025-03-25 0:00:00
C0136,M035,2025-01-02 0:00:00
C0261,M063,2023-01-10 0:00:00
C0377,M005,2025-09-06 0:00:00
C0465,M090,2023-10-08 0:00:00
C0343,M050,2026-03-21 0:00:00
C0443,M005,2024-10-16 0:00:00
C0413,M081,2023-09-21 0:00:00
C0372,M001,2023-06-15 0:00:00
C0317,M016,2024-03-31 0:00:00
C0040,M028,2025-08-23 0:00:00
C0263,M090,2023-10-30 0:00:00
C0131,M099,2023-03-13 0:00:00
C0336,M020,2025-10-10 0:00:00
C0457,M062,2025-05-17 0:00:00
C0436,M011,2024-01-01 0:00:00
C0275,M024,2024-01-15 0:00:00
C0329,M005,2025-11-19 0:00:00
C0090,M093,2025-12-20 0:00:00
C0317,M056,2025-04-19 0:00:00
C0145,M009,2025-12-06 0:00:00
C0021,M066,2023-04-10 0:00:00
C0494,M055,2023-10-16 0:00:00
C0045,M058,2025-10-03 0:00:00
C0410,M019,2025-05-08 0:00:00
C0270,M014,2025-01-25 0:00:00
C0395,M093,2023-01-22 0:00:00
C0102,M044,2026-03-10 0:00:00
C0212,M096,2023-10-08 0:00:00
C0130,M084,2024-09-23 0:00:00
C0277,M054,2026-02-08 0:00:00
C0222,M046,2026-02-02 0:00:00
C0149,M032,2023-01-30 0:00:00
C0329,M047,2025-02-13 0:00:00
C0078,M087,2025-06-26 0:00:00
C0482,M080,2025-11-18 0:00:00
C0415,M086,2023-12-30 0:00:00
C0345,M085,2025-10-20 0:00:00
C0115,M041,2024-04-27 0:00:00
C0238,M023,2025-02-28 0:00:00
C0141,M061,2024-01-15 0:00:00
C0024,M037,2023-02-15 0:00:00
C0024,M015,2024-05-28 0:00:00
C0396,M025,2025-02-12 0:00:00
C0021,M034,2023-11-10 0:00:00
C0099,M042,2023-05-29 0:00:00
C0345,M041,2025-08-15 0:00:00
C0258,M061,2024-03-23 0:00:00
C0122,M014,2024-07-18 0:00:00
C0258,M062,2025-06-24 0:00:00
C0153,M020,2025-12-13 0:00:00
C0204,M042,2026-01-15 0:00:00
C0345,M011,2023-11-12 0:00:00
C0320,M068,2024-01-26 0:00:00
C0423,M072,2023-06-17 0:00:00
C0384,M035,2025-04-06 0:00:00
C0288,M080,2024-03-16 0:00:00
C0217,M091,2024-08-17 0:00:00
C0359,M013,2024-10-12 0:00:00
C0258,M090,2025-04-19 0:00:00
C0481,M016,2025-12-19 0:00:00
C0048,M052,2023-12-30 0:00:00
C0409,M087,2025-03-30 0:00:00
C0127,M050,2023-07-15 0:00:00
C0127,M090,2023-09-28 0:00:00
C0231,M008,2023-07-26 0:00:00
C0464,M088,2026-01-28 0:00:00
C0474,M073,2024-01-06 0:00:00
C0132,M042,2025-10-20 0:00:00
C0310,M069,2024-04-20 0:00:00
C0177,M096,2026-01-15 0:00:00
C0362,M045,2023-10-27 0:00:00
C0231,M088,2023-06-09 0:00:00
C0280,M026,2023-10-16 0:00:00
C0226,M066,2024-11-09 0:00:00
C0212,M034,2024-05-09 0:00:00
C0283,M003,2023-07-14 0:00:00
C0399,M093,2024-02-18 0:00:00
C0494,M061,2025-02-14 0:00:00
C0077,M065,2025-12-29 0:00:00
C0276,M047,2024-09-07 0:00:00
C0475,M070,2025-10-21 0:00:00
C0221,M031,2023-02-15 0:00:00
C0069,M080,2023-11-08 0:00:00
C0404,M080,2025-02-17 0:00:00
C0446,M048,2025-05-07 0:00:00
C0464,M037,2023-08-14 0:00:00
C0261,M059,2024-06-06 0:00:00
C0367,M065,2024-07-24 0:00:00
C0174,M077,2024-12-15 0:00:00
C0164,M090,2024-09-19 0:00:00
C0272,M076,2024-11-09 0:00:00
C0218,M066,2025-10-07 0:00:00
C0306,M040,2025-01-25 0:00:00
C0176,M089,2024-02-23 0:00:00
C0274,M011,2023-08-10 0:00:00
C0100,M076,2023-12-02 0:00:00
C0018,M061,2025-05-07 0:00:00
C0366,M019,2023-04-19 0:00:00
C0407,M100,2024-02-28 0:00:00
C0493,M077,2024-11-07 0:00:00
C0081,M050,2023-05-15 0:00:00
C0276,M078,2025-02-07 0:00:00
C0182,M093,2023-02-06 0:00:00
C0332,M081,2025-07-16 0:00:00
C0136,M061,2024-07-31 0:00:00
C0094,M024,2025-12-28 0:00:00
C0137,M081,2025-10-25 0:00:00
C0205,M050,2024-06-29 0:00:00
C0217,M013,2025-06-25 0:00:00
C0426,M036,2024-08-09 0:00:00
C0104,M093,2026-01-27 0:00:00
C0404,M052,2024-03-14 0:00:00
C0100,M030,2025-07-29 0:00:00
C0035,M033,2023-06-01 0:00:00
C0126,M086,2026-02-11 0:00:00
C0166,M030,2025-04-07 0:00:00
C0455,M089,2024-08-01 0:00:00
C0375,M048,2024-01-01 0:00:00
C0176,M045,2023-03-07 0:00:00
C0107,M054,2024-10-10 0:00:00
C0111,M045,2025-05-28 0:00:00
C0168,M037,2025-10-11 0:00:00
C0172,M083,2024-07-18 0:00:00
C0111,M028,2024-09-03 0:00:00
C0457,M099,2024-09-03 0:00:00
C0102,M027,2025-01-05 0:00:00
C0433,M035,2024-03-19 0:00:00
C0160,M082,2023-05-14 0:00:00
C0471,M067,2025-04-11 0:00:00
C0115,M096,2024-12-07 0:00:00
C0442,M033,2026-03-21 0:00:00
C0150,M086,2025-01-30 0:00:00
C0351,M011,2025-12-30 0:00:00
C0410,M025,2025-08-22 0:00:00
C0133,M093,2024-06-07 0:00:00
C0004,M021,2025-06-06 0:00:00
C0101,M039,2024-06-12 0:00:00
C0232,M005,2024-01-26 0:00:00
C0286,M100,2025-03-09 0:00:00
C0221,M082,2025-04-28 0:00:00
C0145,M080,2024-09-03 0:00:00
C0227,M070,2024-08-11 0:00:00
C0486,M074,2023-04-02 0:00:00
C0285,M083,2025-11-17 0:00:00
C0072,M020,2025-07-22 0:00:00
C0357,M100,2023-11-05 0:00:00
C0399,M076,2025-09-20 0:00:00
C0144,M008,2024-06-14 0:00:00
C0025,M007,2023-03-15 0:00:00
C0427,M051,2025-03-10 0:00:00
C0197,M025,2025-07-31 0:00:00
C0393,M052,2023-08-03 0:00:00
C0053,M015,2025-01-30 0:00:00
C0266,M051,2025-04-29 0:00:00
C0032,M025,2023-11-25 0:00:00
C0310,M083,2024-09-29 0:00:00
C0371,M090,2024-05-25 0:00:00
C0296,M093,2024-06-05 0:00:00
C0236,M092,2024-12-11 0:00:00
C0246,M048,2025-12-09 0:00:00
C0022,M094,2026-02-19 0:00:00
C0058,M034,2023-11-02 0:00:00
C0328,M090,2026-03-02 0:00:00
C0301,M064,2025-01-26 0:00:00
C0168,M069,2023-04-04 0:00:00
C0245,M044,2024-02-15 0:00:00
C0256,M046,2025-10-19 0:00:00
C0293,M033,2025-03-30 0:00:00
C0402,M016,2023-12-04 0:00:00
C0464,M055,2024-05-01 0:00:00
C0187,M034,2023-12-05 0:00:00
C0478,M083,2024-11-27 0:00:00
C0476,M018,2023-03-21 0:00:00
C0194,M036,2024-06-15 0:00:00
C0409,M070,2024-02-01 0:00:00
C0051,M008,2025-10-14 0:00:00
C0142,M024,2025-07-31 0:00:00
C0167,M098,2023-05-16 0:00:00
C0159,M038,2025-02-26 0:00:00
C0349,M076,2024-06-17 0:00:00
C0290,M093,2023-05-12 0:00:00
C0267,M002,2024-08-13 0:00:00
C0466,M043,2023-01-18 0:00:00
C0048,M074,2024-05-12 0:00:00
C0145,M011,2025-01-05 0:00:00
C0380,M008,2025-07-13 0:00:00
C0076,M011,2026-03-03 0:00:00
C0013,M088,2023-05-07 0:00:00
C0480,M084,2024-11-24 0:00:00
C0080,M080,2026-03-08 0:00:00
C0364,M028,2025-01-16 0:00:00
C0270,M063,2026-03-23 0:00:00
C0150,M033,2024-10-16 0:00:00
C0073,M065,2025-11-15 0:00:00
C0251,M027,2023-08-22 0:00:00
C0067,M050,2025-01-05 0:00:00
C0481,M035,2025-09-27 0:00:00
C0102,M017,2023-12-24 0:00:00
C0332,M095,2023-11-29 0:00:00
C0036,M030,2023-02-05 0:00:00
C0008,M077,2023-01-15 0:00:00
C0243,M069,2025-08-30 0:00:00
C0113,M019,2026-01-03 0:00:00
C0273,M048,2025-08-29 0:00:00
C0443,M029,2025-06-09 0:00:00
C0152,M055,2025-10-05 0:00:00
C0342,M061,2025-05-11 0:00:00
C0111,M003,2023-11-01 0:00:00
C0175,M015,2024-06-14 0:00:00
C0248,M032,2023-04-25 0:00:00
C0345,M006,2025-12-27 0:00:00
C0342,M013,2024-08-23 0:00:00
C0166,M052,2024-04-10 0:00:00
C0464,M052,2025-04-06 0:00:00
C0446,M052,2023-05-27 0:00:00
C0434,M008,2023-09-10 0:00:00
C0059,M020,2024-07-25 0:00:00
C0198,M100,2025-09-07 0:00:00
C0458,M074,2023-06-16 0:00:00
C0455,M049,2023-07-24 0:00:00
C0105,M023,2023-02-01 0:00:00
C0417,M028,2025-05-16 0:00:00
C0352,M028,2024-09-16 0:00:00
C0221,M007,2025-05-19 0:00:00
C0495,M049,2024-06-07 0:00:00
C0031,M094,2025-03-20 0:00:00
C0455,M006,2025-03-16 0:00:00
C0021,M031,2023-12-24 0:00:00
C0331,M069,2025-08-20 0:00:00
C0490,M055,2023-01-19 0:00:00
C0030,M043,2023-03-31 0:00:00
C0487,M038,2024-01-19 0:00:00
C0396,M090,2024-07-29 0:00:00
C0083,M030,2024-03-22 0:00:00
C0303,M076,2024-02-15 0:00:00
C0426,M087,2024-11-25 0:00:00
C0392,M031,2024-07-21 0:00:00
C0023,M073,2023-05-15 0:00:00
C0388,M037,2023-01-02 0:00:00
C0272,M094,2025-08-06 0:00:00
C0477,M036,2024-05-28 0:00:00
C0426,M029,2024-12-29 0:00:00
C0387,M035,2024-07-21 0:00:00
C0469,M088,2024-12-12 0:00:00
C0121,M021,2023-12-01 0:00:00
C0378,M084,2024-12-02 0:00:00
C0181,M063,2025-11-27 0:00:00
C0136,M007,2025-06-26 0:00:00
C0060,M033,2026-04-02 0:00:00
C0046,M021,2023-02-23 0:00:00
C0314,M090,2025-07-03 0:00:00
C0401,M084,2025-04-13 0:00:00
C0461,M038,2026-01-05 0:00:00
C0346,M091,2024-09-05 0:00:00
C0470,M087,2025-05-16 0:00:00
C0419,M094,2023-05-24 0:00:00
C0176,M011,2023-09-15 0:00:00
C0438,M018,2025-03-10 0:00:00
C0067,M013,2025-12-11 0:00:00
C0440,M068,2023-08-19 0:00:00
C0026,M020,2026-04-11 0:00:00
C0490,M078,2026-02-18 0:00:00
C0420,M004,2023-04-23 0:00:00
C0476,M043,2025-12-20 0:00:00
C0022,M099,2023-03-20 0:00:00
C0166,M057,2023-11-11 0:00:00
C0358,M059,2025-01-13 0:00:00
C0443,M037,2025-03-26 0:00:00
C0193,M065,2025-01-29 0:00:00
C0242,M031,2025-09-01 0:00:00
C0152,M036,2023-06-09 0:00:00
C0417,M069,2023-03-15 0:00:00
C0338,M068,2023-07-29 0:00:00
C0419,M055,2025-10-13 0:00:00
C0500,M078,2025-02-20 0:00:00
C0287,M062,2025-10-02 0:00:00
C0053,M028,2025-10-04 0:00:00
C0042,M013,2023-05-10 0:00:00
C0071,M046,2025-04-18 0:00:00
C0196,M070,2026-02-14 0:00:00
C0485,M053,2025-11-12 0:00:00
C0491,M099,2025-02-11 0:00:00
C0195,M048,2025-06-24 0:00:00
C0191,M055,2024-02-14 0:00:00
C0224,M074,2026-03-14 0:00:00
C0342,M063,2025-07-19 0:00:00
C0026,M007,2023-10-28 0:00:00
C0406,M038,2026-04-12 0:00:00
C0037,M063,2023-12-20 0:00:00
C0225,M070,2025-11-10 0:00:00
C0050,M036,2023-08-04 0:00:00
C0017,M032,2024-06-28 0:00:00
C0288,M028,2023-11-27 0:00:00
C0011,M092,2025-12-03 0:00:00
C0235,M022,2023-01-12 0:00:00
C0285,M054,2025-06-27 0:00:00
C0001,M040,2024-06-02 0:00:00
C0315,M096,2023-08-07 0:00:00
C0116,M019,2024-09-21 0:00:00
C0068,M085,2024-04-14 0:00:00
C0354,M059,2024-04-13 0:00:00
C0131,M096,2025-05-07 0:00:00
C0111,M092,2024-10-27 0:00:00
C0261,M085,2025-09-18 0:00:00
C0074,M093,2023-07-13 0:00:00
C0391,M088,2024-08-01 0:00:00
C0343,M095,2023-03-07 0:00:00
C0373,M062,2024-01-17 0:00:00
C0107,M090,2024-06-07 0:00:00
C0035,M095,2025-08-26 0:00:00
C0204,M047,2025-03-26 0:00:00
C0247,M076,2025-05-01 0:00:00
C0008,M078,2023-05-07 0:00:00
C0392,M009,2023-03-16 0:00:00
C0402,M042,2023-08-08 0:00:00
C0255,M059,2024-04-09 0:00:00
C0195,M022,2025-07-16 0:00:00
C0341,M047,2023-08-22 0:00:00
C0067,M041,2023-06-09 0:00:00
C0057,M049,2023-03-17 0:00:00
C0228,M056,2025-05-31 0:00:00
C0275,M076,2023-03-26 0:00:00
C0020,M057,2024-05-18 0:00:00
C0180,M015,2023-09-22 0:00:00
C0051,M022,2023-06-22 0:00:00
C0467,M056,2023-02-09 0:00:00
C0364,M053,2024-01-22 0:00:00
C0065,M050,2025-11-03 0:00:00
C0455,M023,2023-05-06 0:00:00
C0050,M089,2025-09-07 0:00:00
C0023,M046,2026-04-11 0:00:00
C0025,M036,2023-03-09 0:00:00
C0100,M024,2023-04-29 0:00:00
C0462,M047,2025-03-12 0:00:00
C0494,M086,2023-12-13 0:00:00
C0348,M010,2024-10-13 0:00:00
C0055,M008,2025-03-21 0:00:00
C0325,M049,2025-11-23 0:00:00
C0129,M026,2024-10-05 0:00:00
C0168,M048,2023-12-27 0:00:00
C0167,M076,2024-07-29 0:00:00
C0180,M090,2025-02-24 0:00:00
C0494,M025,2025-01-04 0:00:00
C0273,M079,2024-11-18 0:00:00
C0120,M019,2025-03-20 0:00:00
C0432,M041,2023-08-15 0:00:00
C0404,M031,2026-02-02 0:00:00
C0275,M055,2025-02-04 0:00:00
C0092,M018,2024-06-12 0:00:00
C0305,M019,2025-03-10 0:00:00
C0293,M001,2024-08-28 0:00:00
C0221,M049,2025-05-18 0:00:00
C0360,M021,2024-06-27 0:00:00
C0059,M001,2026-03-02 0:00:00
C0411,M083,2025-12-16 0:00:00
C0113,M028,2023-06-04 0:00:00
C0004,M019,2023-05-26 0:00:00
C0203,M016,2024-07-01 0:00:00
C0310,M089,2023-11-20 0:00:00
C0230,M013,2024-12-23 0:00:00
C0114,M045,2024-09-01 0:00:00
C0057,M006,2025-11-06 0:00:00
C0461,M035,2025-01-09 0:00:00
C0192,M090,2025-05-31 0:00:00
C0123,M051,2023-05-06 0:00:00
C0354,M033,2023-09-21 0:00:00
C0173,M058,2026-02-19 0:00:00
C0030,M033,2025-07-03 0:00:00
C0342,M056,2024-03-03 0:00:00
C0017,M039,2024-06-07 0:00:00
C0079,M033,2023-06-12 0:00:00
C0155,M037,2026-02-09 0:00:00
C0351,M062,2025-12-14 0:00:00
C0407,M040,2025-08-07 0:00:00
C0312,M090,2024-09-14 0:00:00
C0116,M065,2025-09-27 0:00:00
C0188,M063,2023-09-18 0:00:00
C0180,M020,2025-07-10 0:00:00
C0190,M031,2023-01-03 0:00:00
C0199,M069,2024-07-15 0:00:00
C0022,M043,2023-01-06 0:00:00
C0469,M005,2023-04-06 0:00:00
C0142,M095,2024-05-01 0:00:00
C0370,M074,2025-10-13 0:00:00
C0396,M096,2024-05-31 0:00:00
C0399,M058,2024-11-21 0:00:00
C0287,M079,2025-02-23 0:00:00
C0062,M007,2023-06-01 0:00:00
C0387,M038,2023-08-01 0:00:00
C0085,M009,2024-05-31 0:00:00
C0456,M055,2023-05-17 0:00:00
C0285,M022,2023-03-13 0:00:00
C0180,M086,2025-07-18 0:00:00
C0100,M099,2024-09-13 0:00:00
C0463,M058,2023-05-09 0:00:00
C0271,M063,2023-12-08 0:00:00
C0022,M028,2024-07-09 0:00:00
C0347,M034,2025-05-10 0:00:00
C0111,M035,2024-09-20 0:00:00
C0200,M091,2026-01-19 0:00:00
C0218,M078,2025-04-24 0:00:00
C0010,M064,2023-10-10 0:00:00
C0434,M003,2025-03-31 0:00:00
C0319,M093,2024-09-30 0:00:00
C0432,M031,2023-04-28 0:00:00
C0389,M060,2024-07-04 0:00:00
C0265,M065,2023-08-30 0:00:00
C0246,M084,2025-12-26 0:00:00
C0358,M081,2023-06-09 0:00:00
C0152,M063,2024-05-07 0:00:00
C0197,M018,2025-04-09 0:00:00
C0243,M057,2024-08-03 0:00:00
C0034,M039,2023-08-03 0:00:00
C0122,M004,2026-04-13 0:00:00
C0028,M035,2024-10-01 0:00:00
C0142,M004,2023-11-12 0:00:00
C0471,M072,2023-03-01 0:00:00
C0421,M058,2023-01-28 0:00:00
C0190,M013,2025-07-27 0:00:00
C0149,M003,2023-05-04 0:00:00
C0149,M003,2024-07-02 0:00:00
C0500,M031,2025-09-03 0:00:00
C0423,M005,2024-10-28 0:00:00
C0045,M027,2025-02-25 0:00:00
C0029,M004,2023-12-03 0:00:00
C0440,M026,2024-11-07 0:00:00
C0190,M061,2024-01-23 0:00:00
C0439,M024,2025-01-21 0:00:00
C0421,M089,2025-05-13 0:00:00
C0207,M060,2023-09-02 0:00:00
C0282,M066,2024-04-08 0:00:00
C0130,M082,2024-07-30 0:00:00
C0132,M012,2025-06-06 0:00:00
C0106,M098,2023-01-26 0:00:00
C0146,M015,2025-12-22 0:00:00
C0398,M014,2025-11-25 0:00:00
C0224,M061,2024-12-02 0:00:00
C0303,M060,2026-04-10 0:00:00
C0028,M036,2025-07-09 0:00:00
C0380,M040,2025-08-19 0:00:00
C0127,M053,2024-05-17 0:00:00
C0491,M063,2025-06-27 0:00:00
